,id,prices,market_caps,total_volumes
60,enjincoin,"[1621814400000, 0.9567940078998581]","[1621814400000, 882838078.0468217]","[1621814400000, 223041721.60275006]"
61,enjincoin,"[1621900800000, 1.2592811058479958]","[1621900800000, 1180334754.1933978]","[1621900800000, 332591877.98087037]"
62,enjincoin,"[1621987200000, 1.2337201034377367]","[1621987200000, 1152963322.6532822]","[1621987200000, 186841118.0797587]"
63,enjincoin,"[1622073600000, 1.9302213207368069]","[1622073600000, 1816860848.248119]","[1622073600000, 962812362.0187188]"
64,enjincoin,"[1622160000000, 1.715937218500435]","[1622160000000, 1604520923.7661388]","[1622160000000, 644272587.7543381]"
65,enjincoin,"[1622246400000, 1.4269108603807015]","[1622246400000, 1333207224.315939]","[1622246400000, 396435155.3750279]"
66,enjincoin,"[1622332800000, 1.3495593556519085]","[1622332800000, 1267720770.0475428]","[1622332800000, 246058104.5776488]"
67,enjincoin,"[1622419200000, 1.5393660975740089]","[1622419200000, 1438492044.2667048]","[1622419200000, 613216591.8209476]"
68,enjincoin,"[1622505600000, 1.6292333725030652]","[1622505600000, 1527641413.0208404]","[1622505600000, 385394398.8607455]"
69,enjincoin,"[1622592000000, 1.572032513639519]","[1622592000000, 1469681606.6345878]","[1622592000000, 223227373.17213392]"
70,enjincoin,"[1622678400000, 1.585963362268324]","[1622678400000, 1481992820.0751636]","[1622678400000, 167205375.14967582]"
71,enjincoin,"[1622764800000, 1.6427588158665452]","[1622764800000, 1535998513.0310082]","[1622764800000, 195000206.54512817]"
72,enjincoin,"[1622851200000, 1.5006366649514054]","[1622851200000, 1401079744.245257]","[1622851200000, 221468151.4497784]"
73,enjincoin,"[1622937600000, 1.4542971586586255]","[1622937600000, 1354849767.1665225]","[1622937600000, 143479083.10532585]"
74,enjincoin,"[1623024000000, 1.4752724975933023]","[1623024000000, 1378393007.045481]","[1623024000000, 80039999.19501787]"
75,enjincoin,"[1623110400000, 1.3361678117692106]","[1623110400000, 1256460971.40379]","[1623110400000, 116525207.50546575]"
